Work Year,Job Category,Job Title,Experience Level,Employment Type,Salary in USD,Work Setting,Company Location,Employee Residence,Company Size
2023,Data Engineering,Data DevOps Engineer,Mid-level,Full-time,95012,Hybrid,Germany,Germany,L
2023,Data Architecture and Modeling,Data Architect,Senior,Full-time,186000,In-person,United States,United States,M
2023,Data Architecture and Modeling,Data Architect,Senior,Full-time,81800,In-person,United States,United States,M
2023,Data Science and Research,Data Scientist,Senior,Full-time,212000,In-person,United States,United States,M
2023,Data Science and Research,Data Scientist,Senior,Full-time,93300,In-person,United States,United States,M
2023,Data Science and Research,Data Scientist,Senior,Full-time,130000,Remote,United States,United States,M
2023,Data Science and Research,Data Scientist,Senior,Full-time,100000,Remote,United States,United States,M
2023,Machine Learning and AI,Machine Learning Researcher,Mid-level,Full-time,224400,In-person,United States,United States,M
2023,Machine Learning and AI,Machine Learning Researcher,Mid-level,Full-time,138700,In-person,United States,United States,M
2023,Data Engineering,Data Engineer,Executive,Full-time,210000,Remote,United States,United States,M
2023,Data Engineering,Data Engineer,Executive,Full-time,168000,Remote,United States,United States,M
2023,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,224400,In-person,United States,United States,M
2023,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,138700,In-person,United States,United States,M
2023,Data Science and Research,Data Scientist,Mid-level,Full-time,43064,In-person,United Kingdom,United Kingdom,M
2023,Data Science and Research,Data Scientist,Mid-level,Full-time,36912,In-person,United Kingdom,United Kingdom,M
2023,Data Analysis,Data Analyst,Entry-level,Full-time,95000,In-person,United States,United States,M
2023,Data Analysis,Data Analyst,Entry-level,Full-time,75000,In-person,United States,United States,M
2023,Data Science and Research,Data Scientist,Senior,Full-time,300000,In-person,United States,United States,M
2023,Data Science and Research,Data Scientist,Senior,Full-time,234000,In-person,United States,United States,M
2023,Leadership and Management,Analytics Engineer,Mid-level,Full-time,140000,In-person,United States,United States,M
2023,Leadership and Management,Analytics Engineer,Mid-level,Full-time,120000,In-person,United States,United States,M
2023,Machine Learning and AI,Machine Learning Engineer,Mid-level,Full-time,204500,In-person,United States,United States,M
2023,Machine Learning and AI,Machine Learning Engineer,Mid-level,Full-time,142200,In-person,United States,United States,M
2023,Data Analysis,Data Analyst,Mid-level,Full-time,155000,In-person,United States,United States,M
2023,Data Analysis,Data Analyst,Mid-level,Full-time,110000,In-person,United States,United States,M
2023,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,266500,In-person,United States,United States,M
2023,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,152000,In-person,United States,United States,M
2023,Data Science and Research,Applied Scientist,Mid-level,Full-time,222200,In-person,United States,United States,L
2023,Data Science and Research,Applied Scientist,Mid-level,Full-time,136000,In-person,United States,United States,L
2023,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,273400,In-person,United States,United States,M
2023,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,182200,In-person,United States,United States,M
2023,BI and Visualization,BI Developer,Senior,Full-time,167500,In-person,United States,United States,M
2023,BI and Visualization,BI Developer,Senior,Full-time,106500,In-person,United States,United States,M
2023,Data Engineering,Data Engineer,Senior,Full-time,185900,In-person,United States,United States,M
2023,Data Engineering,Data Engineer,Senior,Full-time,129300,In-person,United States,United States,M
2023,BI and Visualization,Business Intelligence Engineer,Mid-level,Full-time,185000,In-person,United States,United States,L
2023,BI and Visualization,Business Intelligence Engineer,Mid-level,Full-time,79600,In-person,United States,United States,L
2023,Data Engineering,Data Engineer,Senior,Full-time,122000,In-person,United States,United States,M
2023,Data Engineering,Data Engineer,Senior,Full-time,94500,In-person,United States,United States,M
2023,Data Engineering,Data Engineer,Senior,Full-time,247300,In-person,United States,United States,M
2023,Data Engineering,Data Engineer,Senior,Full-time,139700,In-person,United States,United States,M
2023,Data Analysis,Data Analyst,Senior,Full-time,176000,In-person,United States,United States,M
2023,Data Analysis,Data Analyst,Senior,Full-time,100000,In-person,United States,United States,M
2023,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,204500,In-person,United States,United States,M
2023,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,142200,In-person,United States,United States,M
2023,Data Science and Research,Research Scientist,Senior,Full-time,247600,In-person,United States,United States,L
2023,Data Science and Research,Research Scientist,Senior,Full-time,127300,In-person,United States,United States,L
2023,Data Science and Research,Data Scientist,Senior,Full-time,223400,Remote,United States,United States,M
2023,Data Science and Research,Data Scientist,Senior,Full-time,186200,Remote,United States,United States,M
2023,Data Engineering,Data Engineer,Senior,Full-time,167500,In-person,United States,United States,M
2023,Data Engineering,Data Engineer,Senior,Full-time,106500,In-person,United States,United States,M
2023,Data Science and Research,Data Scientist,Senior,Full-time,185900,In-person,United States,United States,M
2023,Data Science and Research,Data Scientist,Senior,Full-time,129300,In-person,United States,United States,M
2023,Data Science and Research,Research Analyst,Entry-level,Full-time,72000,Remote,United States,United States,M
2023,Data Science and Research,Research Analyst,Entry-level,Full-time,64000,Remote,United States,United States,M
2023,Leadership and Management,Analytics Engineer,Senior,Full-time,179820,In-person,United States,United States,M
2023,Leadership and Management,Analytics Engineer,Senior,Full-time,143860,In-person,United States,United States,M
2023,Data Science and Research,Research Scientist,Senior,Full-time,283050,In-person,United States,United States,M
2023,Data Science and Research,Research Scientist,Senior,Full-time,188700,In-person,United States,United States,M
2023,Data Engineering,Data Engineer,Mid-level,Full-time,133000,In-person,United States,United States,M
2023,Data Engineering,Data Engineer,Mid-level,Full-time,58400,In-person,United States,United States,M
2023,Data Science and Research,Research Engineer,Senior,Full-time,141298,In-person,United States,United States,M
2023,Data Science and Research,Research Engineer,Senior,Full-time,115607,In-person,United States,United States,M
2023,Data Analysis,Data Analyst,Entry-level,Full-time,100000,In-person,United States,United States,M
2023,Data Analysis,Data Analyst,Entry-level,Full-time,75000,In-person,United States,United States,M
2023,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,266500,In-person,Canada,Canada,M
2023,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,144400,In-person,Canada,Canada,M
2023,Data Engineering,Data Engineer,Senior,Full-time,71363,In-person,United Kingdom,United Kingdom,M
2023,Data Engineering,Data Engineer,Senior,Full-time,55368,In-person,United Kingdom,United Kingdom,M
2023,Data Science and Research,Research Scientist,Senior,Full-time,287500,In-person,United States,United States,M
2023,Data Science and Research,Research Scientist,Senior,Full-time,156000,In-person,United States,United States,M
2023,Data Analysis,Data Analyst,Mid-level,Full-time,90000,Remote,United States,United States,M
2023,Data Analysis,Data Analyst,Mid-level,Full-time,70000,Remote,United States,United States,M
2023,Data Engineering,Data Engineer,Senior,Full-time,199000,In-person,United States,United States,M
2023,Data Engineering,Data Engineer,Senior,Full-time,162000,In-person,United States,United States,M
